Continent,Country,Active Cases,Death Rate,Population,Recovery_rate,Serious Or Critical,Total Cases Per 1M Population,Total Confirmed,Total Deaths,Total Deaths Per 1M Population,Total Recovered,Total Tests,Total Tests Per 1M Population
Asia,Afghanistan,5158,4.654556942,40250878,92.086558206,1124,3932,158275,7367,183,145750,826810,20541
Europe,Albania,7952,1.513666609,2873049,94.757499168,23,74227,213257,3228,1124,202077,1495002,520354
Africa,Algeria,62758,2.862781571,45046063,68.664564571,34,4893,220415,6310,140,151347,230861,5125
Europe,Andorra,3637,0.557554668,77452,85.060698327,31,326512,25289,141,1820,21511,249838,3225714
Africa,Angola,17370,2.064961448,34407243,77.885636456,7,2518,86636,1789,52,67477,1296669,37686
North America,Anguilla,69,0.337647721,15205,95.779403489,,116869,1777,6,395,1702,51382,3379283
North America,Antigua And Barbuda,291,2.652697280,99154,90.860454748,1,45243,4486,119,1200,4076,18559,187173
South America,Argentina,407825,1.983638440,45822143,91.122412498,1396,129101,5915695,117346,2561,5390524,28646641,625170
Asia,Armenia,4938,2.314202247,2971611,96.256105435,,116230,345389,7993,2690,332458,2590957,871903
North America,Aruba,3730,0.747624948,107451,83.845518381,6,225312,24210,181,1684,20299,177885,1655499
Australia/Oceania,Australia,360132,0.336247871,25946654,47.060095178,207,26385,684614,2302,89,322180,56311741,2170289
Europe,Austria,51364,1.052828806,9084028,95.035032092,295,144533,1312939,13823,1522,1247752,125526389,13818362
Asia,Azerbaijan,7174,1.359479065,10277205,97.482494003,,60279,619502,8422,819,603906,5911227,575178
North America,Bahamas,4020,2.685292686,398919,82.259091420,4,66933,26701,717,1797,21964,188388,472246
Asia,Bahrain,6710,0.486861714,1790693,97.171315992,1,160010,286529,1395,779,278424,8116832,4532788
Asia,Bangladesh,11486,1.767165824,167167305,97.510420159,1349,9511,1589947,28097,168,1550364,11610336,69453
North America,Barbados,1768,0.871524671,287907,93.269708719,,104815,30177,263,913,28146,478227,1661047
Europe,Belarus,1285,0.804219564,9444626,99.013486886,,74636,704907,5669,600,697953,11138815,1179381
Europe,Belgium,324626,1.304256071,11665824,83.802661822,503,186846,2179710,28429,2437,1826655,27626818,2368184
North America,Belize,3244,1.747141042,408522,88.884717570,4,84764,34628,605,1481,30779,391808,959087
Africa,Benin,538,0.630828305,12602042,97.261186427,5,2025,25522,161,13,24823,604310,47953
North America,Bermuda,912,1.585928489,61930,85.265282584,,111997,6936,110,1776,5914,708560,11441305
Asia,Bhutan,14,0.112317484,784438,99.363534257,,3405,2671,3,4,2654,1320998,1684006
South America,Bolivia,84492,3.092470284,11913422,83.743029555,220,53873,641817,19848,1666,537477,2633963,221092
Europe,Bosnia And Herzegovina,91547,4.563233815,3249977,64.647381892,,91488,297333,13568,4175,192218,1505807,463329
Africa,Botswana,14597,1.104240879,2423271,92.322103282,1,91634,222053,2452,1012,205004,2026898,836431
South America,Brazil,163700,2.771939140,214841765,96.495658559,8318,104035,22351104,619559,2884,21567845,63776166,296852
North America,British Virgin Islands,,1.063829787,30535,,8,123137,3760,40,1310,,93379,3058097
Asia,Brunei Darussalam,103,0.630955447,443805,98.705897502,1,34997,15532,98,221,15331,690614,1556120
Europe,Bulgaria,117409,4.094700161,6869390,80.547198342,493,111287,764476,31303,4557,615764,7582902,1103868
